EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-09-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 147748) of station Benghazi Ragma, LIBYAN ARAB JAMAHIRIYA (STAID:   7947)

 STAID,    SOUID,    DATE,   RR, Q_RR
  7947,147748,19160101,-9999,    9
  7947,147748,19160102,-9999,    9
  7947,147748,19160103,-9999,    9
  7947,147748,19160104,-9999,    9
  7947,147748,19160105,-9999,    9
  7947,147748,19160106,-9999,    9
  7947,147748,19160107,-9999,    9
  7947,147748,19160108,-9999,    9
  7947,147748,19160109,-9999,    9
  7947,147748,19160110,-9999,    9
  7947,147748,19160111,-9999,    9
  7947,147748,19160112,-9999,    9
  7947,147748,19160113,-9999,    9
  7947,147748,19160114,-9999,    9
  7947,147748,19160115,-9999,    9
  7947,147748,19160116,-9999,    9
  7947,147748,19160117,-9999,    9
  7947,147748,19160118,-9999,    9
  7947,147748,19160119,-9999,    9
  7947,147748,19160120,-9999,    9
  7947,147748,19160121,-9999,    9
  7947,147748,19160122,-9999,    9
  7947,147748,19160123,-9999,    9
  7947,147748,19160124,-9999,    9
  7947,147748,19160125,-9999,    9
  7947,147748,19160126,-9999,    9
  7947,147748,19160127,-9999,    9
  7947,147748,19160128,-9999,    9
  7947,147748,19160129,-9999,    9
  7947,147748,19160130,-9999,    9
  7947,147748,19160131,-9999,    9
  7947,147748,19160201,-9999,    9
  7947,147748,19160202,-9999,    9
  7947,147748,19160203,-9999,    9
  7947,147748,19160204,-9999,    9
  7947,147748,19160205,-9999,    9
  7947,147748,19160206,-9999,    9
  7947,147748,19160207,-9999,    9
  7947,147748,19160208,-9999,    9
  7947,147748,19160209,-9999,    9
  7947,147748,19160210,-9999,    9
  7947,147748,19160211,-9999,    9
  7947,147748,19160212,-9999,    9
  7947,147748,19160213,-9999,    9
  7947,147748,19160214,-9999,    9
  7947,147748,19160215,-9999,    9
  7947,147748,19160216,-9999,    9
  7947,147748,19160217,-9999,    9
  7947,147748,19160218,-9999,    9
  7947,147748,19160219,-9999,    9
  7947,147748,19160220,-9999,    9
  7947,147748,19160221,-9999,    9
  7947,147748,19160222,-9999,    9
  7947,147748,19160223,-9999,    9
  7947,147748,19160224,-9999,    9
  7947,147748,19160225,-9999,    9
  7947,147748,19160226,-9999,    9
